texto,sigla,nivel
PERDA DE TENSAO DE REFERENCIA,PVRF,1
PERDA DE TENSAO DE REFERENCIA,PVRF,2
PERDA DE TENS DE REFERENCIA,PVRF,2
PERDA DE TENS DE REFERENCIA 52-1 - ABERTO,PVRF,3
DE PERDA TENS REFERENCIA DE 01Q0 - POS. REMOTO,PVRF,3
DE DE REFERENCIA PERA TENS - TRIP,PVRF,4
REFERENCIA PERDADE TENS 01F1 - BLOQUEIO,PVRF,4
- REFERENCAI 01F1 01Q0 DE TEN,PVRF,5
DE DE REFERENCIA 01F1 PERDAA 52-2 IED REMOTO,PVRF,5
PERFIL DE AJUSTE ALTERNATIVO,PALT,1
PERFIL DE AJUSTE ALTERNATIVO,PALT,1
PERFIL DE AJUSTE ALTERNATIVO,PALT,2
PERFIL DE AJUSTE ALTERNATIVO,PALT,2
ALTERNATIVO PERFIL AJUSTE DE 01Q0 - ABERTO,PALT,3
DE AJUSTE ALTERNATIVO PERFIL 01Q0 - ABERTO,PALT,3
PERFIL ALTERNATIVO AJUSTE 01F1 - POS. REMMOTO,PALT,4
AJUSTE PERFILD E 52-2 - TRIP,PALT,4
52-1 L43TC AJUSTE DE PERFI,PALT,5
52-1 43TC ALTERNATIVO - PPOS. AJUSSTE,PALT,5
PERFIL DE AJUSTE ALTERNATIVO,PALT,1
PERFIL DE AJUSTE ALTERNATIVO,PALT,1
PERFIL DE AJUSTE ALTERNATIVO,PALT,2
PERFIL DE AJUSTE ALTERNATIVO,PALT,2
ALTERNATIVO PERFIL AJUSTE DE 01Q0 - ABERTO,PALT,3
DE AJUSTE ALTERNATIVO PERFIL 01Q0 - ABERTO,PALT,3
PERFIL ALTERNATIVO AJUSTE 01F1 - POS. REMMOTO,PALT,4
AJUSTE PERFILD E 52-2 - TRIP,PALT,4
52-1 L43TC AJUSTE DE PERFI,PALT,5
52-1 43TC ALTERNATIVO - PPOS. AJUSSTE,PALT,5
PERFIL DE AJUSTE NORMAL,PNOR,1
PERFIL DE AJUSTE NORMAL,PNOR,1
PERFIL DE AJUSTE NORMAL,PNOR,2
PERFIL DE AJUSTE NORMAL,PNOR,2
PERFIL AJUSTE DE NORMAL 01F1 - POS. REMOTO,PNOR,3
AJUSTE NORMAL PERFIL DE IED 01F1 - BLOQUEIO,PNOR,3
DE PERFIL JUSTE 43TC - BLOQUEIO,PNOR,4
ONRMAL DE PERFIL 52-1 - POS. REMOTO,PNOR,4
- FECHADO PEFRLI AJUSTE 01F1,PNOR,5
01Q0- PERFIL 43CT ABERTO,PNOR,5
PERFIL DE AJUSTE NORMAL,PNOR,1
PERFIL DE AJUSTE NORMAL,PNOR,1
PERFIL DE AJUSTE NORMAL,PNOR,2
PERFIL DE AJUSTE NORMAL,PNOR,2
PERFIL AJUSTE DE NORMAL 01F1 - POS. REMOTO,PNOR,3
AJUSTE NORMAL PERFIL DE IED 01F1 - BLOQUEIO,PNOR,3
DE PERFIL JUSTE 43TC - BLOQUEIO,PNOR,4
ONRMAL DE PERFIL 52-1 - POS. REMOTO,PNOR,4
- FECHADO PEFRLI AJUSTE 01F1,PNOR,5
01Q0- PERFIL 43CT ABERTO,PNOR,5
PERMISSAO PARALELISMO,PERP,1
PERMISSAO PARALELISMO,PERP,1
PERMISSAO PARALELISMO,PERP,2
PERMISSAO PARALELISMO,PERP,2
PARALELISMO PERMISSAO 01Q0 - FECHADO,PERP,3
PARALELISMO PERMISSAO 01F1 - TRIP,PERP,3
PARALELISMO PERMISAO 43TC -,PERP,4
PARALELISMO 2-1 - FECHADO,PERP,4
PARALELISMO - PERMISSSAO 43TC,PERP,5
PARALELISMO PERMISSA IED 52-1 01F,PERP,5
PICK UP 51F,P51F,1
PICK UP 51F,P51F,1
PICK UP 51F,P51F,2
PICK UP 51F,P51F,2
PICK 51F UP 01F1 - BLOQUEIO,P51F,3
51F PICK UP 52-2 - TRIP,P51F,3
UP 551F 01F1 ABERTO,P51F,4
PICK 51 UP 01Q0 -,P51F,4
- UP PIK 52-2,P51F,5
552-1 01F1 PICK5 ABERTO,P51F,5
PICK UP 51N,P51N,1
PICK UP 51N,P51N,1
PICK UP 51N,P51N,2
PICK UP 51N,P51N,2
PICK 51N UP IED 01F1 - FECHADO,P51N,3
PICK 51N UP 52-1 - POS. REMOTO,P51N,3
5N UP 43TC -,P51N,4
51N PICK 52-2 - BLOQUUEIO,P51N,4
15N5 52-1 2-2 - PICK,P51N,5
PICK 01F1 51N 0F11 -,P51N,5
PORTA SUBESTACAO,PORT,1
PORTA SUBESTACAO,PORT,1
PORTA SUBESTACAO,PORT,2
PORTA SUBESTACAO,PORT,2
SUBESTACAO PORTA 01F1 - TRIP,PORT,3
SUBESTACAO PORTA 52-1 - BLOQUEIO,PORT,3
SUBESTACAO PORTA 522- -,PORT,4
USBESTACAO PORTA 43TC POS.,PORT,4
52-2 52-2 POTRAA TRIP,PORT,5
SBESTACAO TRIP 52-2 -,PORT,5
PORTA UTR,PORU,1
PORTA UTR,PORU,1
PORTA UTR,PORU,2
PORTA UTR,PORU,2
UTR PORTA 43TC - FECHADO,PORU,3
PORTA UTR 43TC - POS. REMOTO,PORU,3
UTR PORTA IIED 01F1 POS.,PORU,4
PORTA UTR - FECHADO,PORU,4
BLOQUIIEO 43TC PORTA 52-2,PORU,5
-TRIP 43TC 521-,PORU,5
PORTAO SUBESTACAO,PORO,1
PORTAO SUBESTACAO,PORO,1
PORTAO SUBESTACAO,PORO,2
PORTAO SUBESTACAO,PORO,2
SUBESTACAO PORTAO 52-2 - BLOQUEIO,PORO,3
SUBESTACAO PORTAO 52-1 - TRIP,PORO,3
PORTAO SUBESTACO 01F1 -,PORO,4
SUBESTAACO IED - ABERTO,PORO,4
-- SBESTACAO PORTAO 01Q0,PORO,5
01F1 ABBERTO IED PORTAO 2-2,PORO,5
POSICAO DISJUNTOR EXTRAIVEL,DJIE,1
POSICAO DISJUNTOR EXTRAIVEL,DJIE,1
POSICAO DISJ EXTRAIVEL,DJIE,2
POSICAO DISJUNTOR EXTRAIVEL,DJIE,2
DISJ POSICAO EXTRAIVEL 43TC - FECHADO,DJIE,3
POSICAO EXTRAIVEL DISJ 52-1 - TRIP,DJIE,3
EXTRAIVEL POSIACO DISJUNTOR IED 01F1 TRIP,DJIE,4
DISJ EXTRRAIVEL 52-1 FECHADO,DJIE,4
010 DISJUNTOR REMOTO - 01Q0,DJIE,5
OPSICAO 52-1 - DISJUNTOR EXTRAIVEL,DJIE,5
POSITIVO A TERRA,POST,1
POSITIVO A TERRA,POST,1
POSITIVO A TERRA,POST,2
POSITIVO A TERRA,POST,2
TERRA POSITIVO A 01F1 - ABERTO,POST,3
POSITIVO TERRA A 43TC - FECHADO,POST,3
TERRA A POSITIVO 43TC POS.. REMOTO,POST,4
TERRA A 52-1 - BLOQUEIOO,POST,4
BLOQUIO - 01F1 A TERRA,POST,5
A 43TC POSITIVVO TERA,POST,5
FUNCAO PROTECAO DE BARRA,PBEX,1
FUNCAO PROTECAO DE BARRA,PBEX,1
FUNCAO PROT DE BARRA,PBEX,2
FUNCAO PROT DE BARRA,PBEX,2
DE FUNCAO BARRA PROT 52-2 - BLOQUEIO,PBEX,3
PROT BARRA FUNCAO DE 43TC - BLOQUEIO,PBEX,3
BARRA FUNCAO DE PRO - BLOQUEIO,PBEX,4
PROTECOA BARRA DE 52-1 - BLOQUEIO,PBEX,4
IED TRIP - BARRA 52-2 PROOTEACO 01F1,PBEX,5
- FUNCAO 01FF1 IED 01Q0 DE,PBEX,5
PROTECAO BLOQUEADA,PROT,1
PROTECAO BLOQUEADA,PROT,1
PROT BLOQUEADA,PROT,2
PROT BLOQUEADA,PROT,2
BLOQUEADA PROTECAO 52-1 - FECHADO,PROT,3
PROTECAO BLOQUEADA IED 01F1 - BLOQUEIO,PROT,3
PROT BLOQUEADA 01F11 BLOQUEIO,PROT,4
PROT BLOQUEADA IED 011 ABERTO,PROT,4
BLOQQUEADA PROT 01F1 IDE 43TC,PROT,5
POS. 1F1 IED REMOTTO PROT,PROT,5
PROTECAO DE BARRA,PB,1
PROTECAO DE BARRA,PB,1
PROTECAO DE BARRA,PB,2
PROT DE BARRA,PB,2
PROT DE BARRA 01Q0 - ABERTO,PB,3
DE PROT BARRA 01Q0 - ABERTO,PB,3
PROTECAO BARRA IED 1F1 - FECHADO,PB,4
DE BARRA IED 01F1 - BERTO,PB,4
522-1 10F1 - BARRA,PB,5
PIED - 52-1 TRI 01F1,PB,5
PROTECAO DE BARRA FASE,PBF,1
PROTECAO DE BARRA FASE,PBF,1
PROT DE BARRA FASE,PBF,2
PROT DE BARRA FASE,PBF,2
PROTECAO DE BARRA FASE 52-1 - BLOQUEIO,PBF,3
PROTECAO DE BARRA FASE IED 01F1 - ABERTO,PBF,3
DE BARRA FASE 52-2 - PO. REMOTO,PBF,4
BARRA FAE 43TC - TRIP,PBF,4
FASE - 43TC BARRAPROT,PBF,5
BARRA PROT FASE 01Q0 EMOTO 52-R,PBF,5
PROTECAO DE BARRA FASE E1,PBF1,1
PROTECAO DE BARRA FASE E1,PBF1,1
PROTECAO DE BARRA FASE E1,PBF1,2
PROTECAO DE BARRA FASE E1,PBF1,2
PROT BARRA DE E1 FASE 01F1 - ABERTO,PBF1,3
BARRA PROT DE FASE E1 52-1 - POS. REMOTO,PBF1,3
E1 DEE FASE PROT 52-1 - TRIP,PBF1,4
E1 DE FASE PROT 01FF1 - FECHADO,PBF1,4
FASE E1 01QQ0 -ABERTO 52-1,PBF1,5
IED FEHCADO 01F1 - RPOT BARRA 52-2,PBF1,5
PROTECAO DE BARRA FASE E2,PBF2,1
PROTECAO DE BARRA FASE E2,PBF2,1
PROTECAO DE BARRA FASE E2,PBF2,2
PROTECAO DE BARRA FASE E2,PBF2,2
DE PROTECAO FASE BARRA E2 52-2 - POS. REMOTO,PBF2,3
BARRA PROTECAO DE E2 FASE 01Q0 - TRIP,PBF2,3
PRO BARRA FASE E2 52-1 - BLOQUEIO,PBF2,4
DE FASE PROTECAO E201Q0 - TRIP,PBF2,4
43TC - 552-2 AFSE PROT,PBF2,5
DE FECHADO FASE BABRRA 01F1 E2,PBF2,5
PROTECAO DE BARRA NEUTRO,PBN,1
PROTECAO DE BARRA NEUTRO,PBN,1
PROTECAO DE BARRA NEUTRO,PBN,2
PROT DE BARRA NEUTRO,PBN,2
NEUTRO PROT DE BARRA 01F1 - POS. REMOTO,PBN,3
NEUTRO BARRA PROT DE 43TC - BLOQUEIO,PBN,3
DEBARRA NEUTRO PROT 01F1 - REMOTO,PBN,4
DE NEUTRO PROTECAAO - ABERTO,PBN,4
BARRA REMOTO PROTECAO 52-11 43TC,PBN,5
01Q0 TRIPP DE 52-1 BARRA,PBN,5
PROTECAO DE BARRA NEUTRO 1,PBN1,1
PROTECAO DE BARRA NEUTRO 1,PBN1,1
PROT DE BARRA NEUTRO 1,PBN1,2
PROT DE BARRA NEUTRO 1,PBN1,2
NEUTRO DE BARRA PROT 1 52-2 - TRIP,PBN1,3
DE PROT BARRA 1 NEUTRO IED 01F1 - ABERTO,PBN1,3
DE 1 POT BARRA NEUTRO - FECHADO,PBN1,4
DE BARRA PROT NEUTRO 1 01F1-,PBN1,4
43TC PROT1 011F - DE,PBN1,5
52--1 BARRA REMOOTO NEUTRO 52-1 -,PBN1,5
PROTECAO DE BARRA NEUTRO 2,PBN2,1
PROTECAO DE BARRA NEUTRO 2,PBN2,1
PROT DE BARRA NEUTRO 2,PBN2,2
PROTECAO DE BARRA NEUTRO 2,PBN2,2
PROT NEUTRO BARRA DE 2 43TC - TRIP,PBN2,3
DE BARRA PROT 2 NEUTRO IED 01F1 - BLOQUEIO,PBN2,3
2 DE BARRA PRTOECAO 43TC - FECHADO,PBN2,4
NEUTRO PROTECA BARRA 2 52-1 - ABERTO,PBN2,4
NEUTRO 2 BARRA 52-1 -- IED 01F1,PBN2,5
01Q00 DE PROT REMOT NEUTRO - 01Q0,PBN2,5
PROTECAO DE BARRA P1,PB1,1
PROTECAO DE BARRA P1,PB1,1
PROT DE BARRA P1,PB1,2
PROTECAO DE BARRA P1,PB1,2
PROT BARRA P1 DE 52-1 - BLOQUEIO,PB1,3
DE PROT P1 BARRA 01Q0 - ABERTO,PB1,3
BARRA DEP 1 PROT - TRIP,PB1,4
PROT DE P1 01F1 - PSO. REMOTO,PB1,4
- ABERTO RPO TP1 01Q0 01F1,PB1,5
BLOQUEIO 52-1 BRARRA 52-1 DE P1,PB1,5
PROTECAO DE BARRA P2,PB2,1
PROTECAO DE BARRA P2,PB2,1
PROT DE BARRA P2,PB2,2
PROTECAO DE BARRA P2,PB2,2
P2 DE PROT BARRA 01Q0 - BLOQUEIO,PB2,3
PROT BARRA DE P2 01Q0 - BLOQUEIO,PB2,3
DE P2 BARRA0 1Q0 FECHADO,PB2,4
RPOT BARRA 52-2 - TRIP,PB2,4
- P2 52-2 RARA BLOQUEIO,PB2,5
CHADO 01Q0 DE BARRA 01Q0FE,PB2,5
PROTECAO NAO TRANSFERIDA,TPNO,1
PROTECAO NAO TRANSFERIDA,TPNO,1
PROT NAO TRANSFERIDA,TPNO,2
PROT NAO TRANSFERIDA,TPNO,2
NAO PROT TRANSFERIDA 01Q0 - BLOQUEIO,TPNO,3
NAO PROT TRANSFERIDA 01F1 - ABERTO,TPNO,3
NAO PROT 552-1 - POS.,TPNO,4
PROT TRANSFERDIA IED 01F1 BLOQUEIO,TPNO,4
RTANSFREIDA 52-2 NAO IED 01F1 -,TPNO,5
BLOQUEIO 52-2 TRANSFERIA 01Q0 --,TPNO,5
RELIGADOR BLOQUEADO,RGBL,1
RELIGADOR BLOQUEADO,RGBL,1
RELIGADOR BLOQUEADO,RGBL,2
RELIGADOR BLOQUEADO,RGBL,2
BLOQUEADO RELIGADOR 52-2 - POS. REMOTO,RGBL,3
BLOQUEADO RELIGADOR 01F1 - BLOQUEIO,RGBL,3
RELIGADOR 01F1 - OS. REMOTO,RGBL,4
RELIGADOR 52-1 -T RIP,RGBL,4
0F11 52-2 ABERTO BLOQUUEADO,RGBL,5
01F1 BLOQUAEDO - RLIGADOR,RGBL,5
RESET CORRENTE DE CURTO CIRCUITO,ICC,1
RESET CORRENTE DE CURTO CIRCUITO,ICC,1
RESET CORR DE CURTO CIRCUITO,ICC,2
RESET CORR DE CURTO CIRCUITO,ICC,2
CIRCUITO RESET DE CORR CURTO 01F1 - TRIP,ICC,3
DE CORR RESET CIRCUITO CURTO 01F1 - POS. REMOTO,ICC,3
CORR CIRCUITO DE CURTTO RESET 43TC -,ICC,4
DE CORRENTE CURT O52-2 - FECHADO,ICC,4
52-2 RESET 01Q0 - POS. CIRCUITOO REMOTO,ICC,5
01Q0 RESET 011 DE CIRCUITO,ICC,5
RETORNO DE TENSAO DA PCH,CTPC,1
RETORNO DE TENSAO DA PCH,CTPC,1
RETORNO DE TENS DA PCH,CTPC,2
RETORNO DE TENS DA PCH,CTPC,2
PCH DE TENS DA RETORNO IED 01F1 - TRIP,CTPC,3
DA TENS PCH RETORNO DE 01Q0 - FECHADO,CTPC,3
TENSAO PCH DA RETORNO - ABRETO,CTPC,4
PCH TTENS DE RETORNO DA IED 01F1 BLOQUEIO,CTPC,4
- IED ABERTO DE RRETORNO DA 01F1 TENS,CTPC,5
DA 52-2 001F1 DE RETONO,CTPC,5
RUPTURA MEMBRANA,MEMB,1
RUPTURA MEMBRANA,MEMB,1
RUPTURA MEMBRANA,MEMB,2
RUPTURA MEMBRANA,MEMB,2
MEMBRANA RUPTURA 01F1 - POS. REMOTO,MEMB,3
RUPTURA MEMBRANA 01Q0 - TRIP,MEMB,3
MEMBRAN A01Q0 - POS.,MEMB,4
RUPPTURA IED 01F1 - POS.,MEMB,4
ABERTO - 52-2 RUPPTURA,MEMB,5
MMERBANA RUPTURA 01F1 REMOTO - 01F1,MEMB,5
SECADOR DE AR,SCAR,1
SECADOR DE AR,SCAR,1
SECADOR DE AR,SCAR,2
SECADOR DE AR,SCAR,2
DE SECADOR AR IED 01F1 - BLOQUEIO,SCAR,3
DE SECADOR AR IED 01F1 - POS. REMOTO,SCAR,3
AR DE SECADOR 4T3C POS.,SCAR,4
ARDE 52-2 - ABERTO,SCAR,4
43TC AR 43TC E,SCAR,5
- SECADOR AR 552-1,SCAR,5
SECCIONADORA BYPASS,SECB,1
SECCIONADORA BYPASS,SECB,1
SECC BYPASS,SECB,2
SECCIONADORA BYPASS,SECB,2
BYPASS SECC 01F1 - BLOQUEIO,SECB,3
BYPASS SECC IED 01F1 - TRIP,SECB,3
SECC 52-1 - BLOQUEIO,SECB,4
BYPASS SEC 01F1 -,SECB,4
ED 01F1 - ABERTO SECC,SECB,5
TRIP SCC IED 52-11,SECB,5
SECCIONADORA BYPASS,SECB,1
SECCIONADORA BYPASS,SECB,1
SECC BYPASS,SECB,2
SECCIONADORA BYPASS,SECB,2
BYPASS SECC 01F1 - BLOQUEIO,SECB,3
BYPASS SECC IED 01F1 - TRIP,SECB,3
SECC 52-1 - BLOQUEIO,SECB,4
BYPASS SEC 01F1 -,SECB,4
ED 01F1 - ABERTO SECC,SECB,5
TRIP SCC IED 52-11,SECB,5
SECCIONADORA CARGA,SECC,1
SECCIONADORA CARGA,SECC,1
SECCIONADORA CARGA,SECC,2
SECC CARGA,SECC,2
SECC CARGA 52-2 - ABERTO,SECC,3
SECC CARGA 01F1 - ABERTO,SECC,3
SECC 01F1 - RIP,SECC,4
CARGA SEC 52-2 -,SECC,4
A- POOS. 43TC CARG,SECC,5
IED BLOQUEIO 01Q0 011 SECCC,SECC,5
SECCIONADORA CARGA,SECC,1
SECCIONADORA CARGA,SECC,1
SECCIONADORA CARGA,SECC,2
SECC CARGA,SECC,2
SECC CARGA 52-2 - ABERTO,SECC,3
SECC CARGA 01F1 - ABERTO,SECC,3
SECC 01F1 - RIP,SECC,4
CARGA SEC 52-2 -,SECC,4
A- POOS. 43TC CARG,SECC,5
IED BLOQUEIO 01Q0 011 SECCC,SECC,5
SECCIONADORA FONTE,SECF,1
SECCIONADORA FONTE,SECF,1
SECCIONADORA FONTE,SECF,2
SECC FONTE,SECF,2
SECC FONTE 52-1 - ABERTO,SECF,3
FONTE SECCIONADORA 01F1 - ABERTO,SECF,3
FONTE SECC 43TC --,SECF,4
FONTE SECC - ABERTO,SECF,4
01Q0 - ABRETO 011 FONTE,SECF,5
OFNTE REMOTO POS. 01Q0,SECF,5
SECCIONADORA FONTE,SECF,1
SECCIONADORA FONTE,SECF,1
SECCIONADORA FONTE,SECF,2
SECC FONTE,SECF,2
SECC FONTE 52-1 - ABERTO,SECF,3
FONTE SECCIONADORA 01F1 - ABERTO,SECF,3
FONTE SECC 43TC --,SECF,4
FONTE SECC - ABERTO,SECF,4
01Q0 - ABRETO 011 FONTE,SECF,5
OFNTE REMOTO POS. 01Q0,SECF,5
SECCIONADORA INTERBARRAS,SECI,1
SECCIONADORA INTERBARRAS,SECI,1
SECC INTERBARRAS,SECI,2
SECC INTERBARRAS,SECI,2
INTERBARRAS SECCIONADORA 52-2 - ABERTO,SECI,3
SECC INTERBARRAS 43TC - POS. REMOTO,SECI,3
SECC INTERBARRSA 52-1 - REMOTO,SECI,4
INTERBARRAS 52-1 POS .REMOTO,SECI,4
01F1 POS. SECCIONADORA IED 01F1 INTTERBARRAS,SECI,5
01F1 POS.52-2 INTERBARRAS IED,SECI,5
SECCIONADORA INTERBARRAS,SECI,1
SECCIONADORA INTERBARRAS,SECI,1
SECC INTERBARRAS,SECI,2
SECC INTERBARRAS,SECI,2
INTERBARRAS SECCIONADORA 52-2 - ABERTO,SECI,3
SECC INTERBARRAS 43TC - POS. REMOTO,SECI,3
SECC INTERBARRSA 52-1 - REMOTO,SECI,4
INTERBARRAS 52-1 POS .REMOTO,SECI,4
01F1 POS. SECCIONADORA IED 01F1 INTTERBARRAS,SECI,5
01F1 POS.52-2 INTERBARRAS IED,SECI,5
SECCIONADORA INTERLINHAS,SECL,1
SECCIONADORA INTERLINHAS,SECL,1
SECCIONADORA INTERLINHAS,SECL,2
SECC INTERLINHAS,SECL,2
SECCIONADORA INTERLINHAS 01Q0 - ABERTO,SECL,3
SECCIONADORA INTERLINHAS IED 01F1 - BLOQUEIO,SECL,3
INTERLINHAS SECC -T RIP,SECL,4
INTERINHAS SECC - TRIP,SECL,4
- FECHADO INTERLLINHAS 52-2,SECL,5
INTERLLINHASS 01F1 01Q0 POS.,SECL,5
SECCIONADORA INTERLINHAS,SECL,1
SECCIONADORA INTERLINHAS,SECL,1
SECCIONADORA INTERLINHAS,SECL,2
SECC INTERLINHAS,SECL,2
SECCIONADORA INTERLINHAS 01Q0 - ABERTO,SECL,3
SECCIONADORA INTERLINHAS IED 01F1 - BLOQUEIO,SECL,3
INTERLINHAS SECC -T RIP,SECL,4
INTERINHAS SECC - TRIP,SECL,4
- FECHADO INTERLLINHAS 52-2,SECL,5
INTERLLINHASS 01F1 01Q0 POS.,SECL,5
SECCIONADORA TERRA,SECG,1
SECCIONADORA TERRA,SECG,1
SECC TERRA,SECG,2
SECC TERRA,SECG,2
TERRA SECCIONADORA 43TC - TRIP,SECG,3
TERRA SECC 01Q0 - ABERTO,SECG,3
SECC TTERRA 01Q0 ABERTO,SECG,4
TERRA SCC - ABERTO,SECG,4
01F1 TERRSA REMOTO ECC -,SECG,5
SECC 01F TEERRA 1- 43TC,SECG,5
SECCIONADORA TERRA,SECG,1
SECCIONADORA TERRA,SECG,1
SECC TERRA,SECG,2
SECC TERRA,SECG,2
TERRA SECCIONADORA 43TC - TRIP,SECG,3
TERRA SECC 01Q0 - ABERTO,SECG,3
SECC TTERRA 01Q0 ABERTO,SECG,4
TERRA SCC - ABERTO,SECG,4
01F1 TERRSA REMOTO ECC -,SECG,5
SECC 01F TEERRA 1- 43TC,SECG,5
SECCIONADORA TRANSFERENCIA,SECT,1
SECCIONADORA TRANSFERENCIA,SECT,1
SECCIONADORA TRANSFERENCIA,SECT,2
SECC TRANSFERENCIA,SECT,2
TRANSFERENCIA SECCIONADORA 43TC - BLOQUEIO,SECT,3
SECC TRANSFERENCIA 52-1 - TRIP,SECT,3
SECCIONADORRA TRANSFERENCIA - POS. REMOTO,SECT,4
SECCCIONADORA TRANSFERENCIA - BLOQUEIO,SECT,4
52-2 - 2-2 SECCIONADDORA5,SECT,5
POS. 011Q0 REMTO 43TC,SECT,5
SECCIONADORA TRANSFERENCIA,SECT,1
SECCIONADORA TRANSFERENCIA,SECT,1
SECCIONADORA TRANSFERENCIA,SECT,2
SECC TRANSFERENCIA,SECT,2
TRANSFERENCIA SECCIONADORA 43TC - BLOQUEIO,SECT,3
SECC TRANSFERENCIA 52-1 - TRIP,SECT,3
SECCIONADORRA TRANSFERENCIA - POS. REMOTO,SECT,4
SECCCIONADORA TRANSFERENCIA - BLOQUEIO,SECT,4
52-2 - 2-2 SECCIONADDORA5,SECT,5
POS. 011Q0 REMTO 43TC,SECT,5
SENSOR FUMACA,FUMA,1
SENSOR FUMACA,FUMA,1
SENSOR FUMACA,FUMA,2
SENSOR FUMACA,FUMA,2
FUMACA SENSOR 52-2 - TRIP,FUMA,3
FUMACA SENSOR 43TC - FECHADO,FUMA,3
FUMACA SENSOR - POS. REMOTOO,FUMA,4
FUMACA 52-1 - TRP,FUMA,4
FMUACA 011Q0 - 01F1,FUMA,5
FUMAAC 52-2 SENSOR -,FUMA,5
SENSOR PRESENCA EXTERNO,SEXT,1
SENSOR PRESENCA EXTERNO,SEXT,1
SENSOR PRESENCA EXTERNO,SEXT,2
SENSOR PRESENCA EXTERNO,SEXT,2
EXTERNO SENSOR PRESENCA IED 01F1 - POS. REMOTO,SEXT,3
PRESENCA EXTERNO SENSOR 01Q0 - POS. REMOTO,SEXT,3
PPRESENCA EXTERNO 52-2 - BLOQUEIO,SEXT,4
PRESENCA SENSOR52-1 - BLOQUEIO,SEXT,4
SENSRO ETERNO 52-2 52-1 PRESENCA,SEXT,5
FECHADO SNESOR 52-1 EXTRNO,SEXT,5
SENSOR PRESENCA INTERNO,SINT,1
SENSOR PRESENCA INTERNO,SINT,1
SENSOR PRESENCA INTERNO,SINT,2
SENSOR PRESENCA INTERNO,SINT,2
PRESENCA SENSOR INTERNO IED 01F1 - BLOQUEIO,SINT,3
PRESENCA SENSOR INTERNO 01F1 - BLOQUEIO,SINT,3
PRESENCA 011F1 - TRIP,SINT,4
INTERNO PRSENCA SENSOR - TRIP,SINT,4
43TC SENSOR ITNERN - TRIP,SINT,5
FEHCADO 52-1 INTERNO -,SINT,5
SENSOR TEMPERATURA,STMP,1
SENSOR TEMPERATURA,STMP,1
SENSOR TEMP,STMP,2
SENSOR TEMP,STMP,2
TEMP SENSOR 43TC - POS. REMOTO,STMP,3
TEMP SENSOR 01Q0 - ABERTO,STMP,3
SENSOR TEMP 43TC -,STMP,4
SENSOR IED 01F1 - POS. REMOTO,STMP,4
SENSOR FECHDAO -- 01Q0,STMP,5
TEMP - 52-2 REMOOTO 52-11,STMP,5
SF6 BLOQUEIO ABERTURA,SFAB,1
SF6 BLOQUEIO ABERTURA,SFAB,1
SF6 BLOQUEIO ABERTURA,SFAB,2
SF6 BLOQUEIO ABERTURA,SFAB,2
SF6 BLOQ ABERTURA 01Q0 - TRIP,SFAB,3
BLOQUEIO SF6 ABERTURA 52-2 - FECHADO,SFAB,3
SF6 BLQO 52-1 - TRIP,SFAB,4
SF6 BLOQ 43TTC ABERTO,SFAB,4
01F1 - IED 1F1 POS. ABERTURA,SFAB,5
TRIP IIED ABERTURA BLOQ 522-2 01F1,SFAB,5
SF6 BLOQUEIO FECHAMENTO,SFFC,1
SF6 BLOQUEIO FECHAMENTO,SFFC,1
SF6 BLOQ FECHAMENTO,SFFC,2
SF6 BLOQ FECHAMENTO,SFFC,2
BLOQ FECHAMENTO SF6 01F1 - TRIP,SFFC,3
SF6 FECHAMENTO BLOQ 52-2 - FECHADO,SFFC,3
FECHAMENTO 01Q0 - FCHADO,SFFC,4
FECHAMENT OBLOQ SF6 43TC -,SFFC,4
BLOQ SF6 1F1 FECHAMENT0,SFFC,5
BLOQ 01Q0 IED BLOQUEIO FECHAENTO -,SFFC,5
SOBRECARGA,SOBC,1
SOBRECARGA,SOBC,1
SOBRECARGA,SOBC,2
SOBRECARGA,SOBC,2
SOBRECARGA 43TC - ABERTO,SOBC,3
SOBRECARGA 01Q0 - FECHADO,SOBC,3
SSOBRECARGA 52-1 TRIP,SOBC,4
SORBECARGA - FECHADO,SOBC,4
01F1 52-2 -,SOBC,5
POS. 521 REMOT 52-2,SOBC,5
TENSAO ALTA BATERIA,BAHI,1
TENSAO ALTA BATERIA,BAHI,1
TENS ALTA BATERIA,BAHI,2
TENS ALTA BATERIA,BAHI,2
BATERIA TENS ALTA 52-2 - BLOQUEIO,BAHI,3
BATERIA ALTA TENS 52-2 - TRIP,BAHI,3
TENS BATERIA 43TC -ABERTO,BAHI,4
TENS ALTA 25-2 - POS.,BAHI,4
01F1 TENS 43TC ALTA BATRIA,BAHI,5
01F1 TTRIP 52-1 ALTA ID,BAHI,5
TENSAO BAIXA BATERIA,BATL,1
TENSAO BAIXA BATERIA,BATL,1
TENS BAIXA BATERIA,BATL,2
TENS BAIXA BATERIA,BATL,2
BATERIA BAIXA TENSAO 01F1 - FECHADO,BATL,3
BATERIA BAIXA TENS 01F1 - POS. REMOTO,BATL,3
TENSAO BATERIA IED - FECADO,BATL,4
BATERIA BAIXA 01F1 POSS. REMOTO,BATL,4
TENS IED 01F1 IED 01F1 ABTERIIA,BATL,5
AABTERIA - 52-2 52-2,BATL,5
TENSAO BAIXA RELE 90,RVTL,1
TENSAO BAIXA RELE 90,RVTL,1
TENS BAIXA RELE 90,RVTL,2
TENS BAIXA RELE 90,RVTL,2
